trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
855,False,"{'a': 0.9, 'e': 0.0015471627043261993}",25,11,26.250512801136832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,False,"{'a': 0.9, 'e': 0.0015317799747694982}",25,12,25.908835999304962,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.9, 'e': 0.0015165500724597658}",20,10,21.39112323656267,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.9, 'e': 0.0015014714813599284}",20,14,12.286767253893846,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.9, 'e': 0.0014865427004265852}",25,14,22.78674421590518,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
860,False,"{'a': 0.9, 'e': 0.001471762243462016}",25,13,26.429139257563634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,False,"{'a': 0.9, 'e': 0.001457128638969074}",25,19,10.490523614269552,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,False,"{'a': 0.9, 'e': 0.0014426404300058593}",25,16,18.71831502633712,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,False,"{'a': 0.9, 'e': 0.0014282961740431643}",25,14,19.556847261136976,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,False,"{'a': 0.9, 'e': 0.0014140944428222557}",25,15,22.67572243339276,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
865,False,"{'a': 0.9, 'e': 0.0014000338222150965}",25,3,38.369788291286014,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,False,"{'a': 0.9, 'e': 0.0013861129120845694}",25,19,10.509363128143804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
867,False,"{'a': 0.9, 'e': 0.0013723303261476971}",20,12,18.189826269701218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,False,"{'a': 0.9, 'e': 0.0013586846918385298}",30,7,38.32515270628107,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
869,False,"{'a': 0.9, 'e': 0.0013451746501739192}",30,20,20.534658562416006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,False,"{'a': 0.9, 'e': 0.0013317988556191818}",20,10,19.107505469322792,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,False,"{'a': 0.9, 'e': 0.0013185559759562038}",20,13,16.835853483402097,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
872,False,"{'a': 0.9, 'e': 0.0013054446921521023}",30,24,12.816711549365696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
873,False,"{'a': 0.9, 'e': 0.0012924636982294402}",20,12,12.347047350642884,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
874,False,"{'a': 0.9, 'e': 0.0012796117011378838}",30,19,20.823297594617003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.9, 'e': 0.00126688742062675}",30,13,32.638334705191696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.9, 'e': 0.0012542895891188843}",20,10,19.723586831744086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.9, 'e': 0.0012418169515862054}",20,7,27.375056648138607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
878,False,"{'a': 0.9, 'e': 0.0012294682654255817}",20,12,15.304111830038046,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
879,False,"{'a': 0.9, 'e': 0.0012172423003367072}",25,15,19.32693756144988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,False,"{'a': 0.9, 'e': 0.001205137838201198}",20,6,27.743761869163066,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
881,False,"{'a': 0.9, 'e': 0.0011931536729620218}",25,18,13.505769547874024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.9, 'e': 0.001181288610504816}",20,15,9.046301608152827,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.9, 'e': 0.0011695414685404248}",30,18,19.92860933723846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.9, 'e': 0.0011579110764883271}",20,3,27.38524743393002,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,False,"{'a': 0.9, 'e': 0.0011463962753607282}",25,14,20.781332723756655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,False,"{'a': 0.9, 'e': 0.0011349959176490954}",25,18,14.583806392552484,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
887,False,"{'a': 0.9, 'e': 0.001123708867210249}",20,8,19.80320908501041,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,False,"{'a': 0.9, 'e': 0.0011125339991547856}",25,18,14.218956243945183,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
889,False,"{'a': 0.9, 'e': 0.0011014701997359433}",25,14,25.892383023348103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
890,False,"{'a': 0.9, 'e': 0.00109051636623958}",20,8,22.191075071311033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
891,False,"{'a': 0.9, 'e': 0.001079671406875704}",20,12,17.136755049341303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
892,False,"{'a': 0.9, 'e': 0.0010689342406704494}",30,14,28.543454531847296,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
893,False,"{'a': 0.9, 'e': 0.0010583037973593834}",20,6,26.575019004734358,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
894,False,"{'a': 0.9, 'e': 0.0010477790172822576}",20,7,22.21101441561636,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
895,False,"{'a': 0.9, 'e': 0.0010373588512778698}",25,13,17.61737485352124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
896,False,"{'a': 0.9, 'e': 0.0010270422605807017}",20,14,11.15248221998799,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
897,False,"{'a': 0.9, 'e': 0.0010168282167185572}",20,14,12.226898078479236,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
898,False,"{'a': 0.9, 'e': 0.001006715701410421}",25,19,11.714342604619096,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,False,"{'a': 0.9, 'e': 0.0009967037064665396}",25,18,12.266822883856998,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,22,16.223117928503743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,3,28.26887887534337,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,13.892906714021485,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,7,27.583807579275888,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,26.009521301760195,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,15,27.22069935385279,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,31.9952237743384,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,16.4753958454784,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,21.73493380292628,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,11.285584362612855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,12,36.22968319155085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,13,22.576547691119785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,14,23.334785670523253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,12,15.667755134328717,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,22,12.868172837938019,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,8,27.780380811844342,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,10,22.667517250684675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,14,22.91648241114003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,10,25.869091679755936,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,14,11.982994060901202,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
